T20I Match No,Match ID,Match Name,Series ID,Series Name,Match Date,Match Format,Team1 ID,Team1 Name,Team1 Captain,Team1 Runs Scored,Team1 Wickets Fell,Team1 Extras Rec,Team2 ID,Team2 Name,Team2 Captain,Team2 Runs Scored,Team2 Wickets Fell,Team2 Extras Rec,Match Venue (Stadium),Match Venue (City),Match Venue (Country),Umpire 1,Umpire 2,Match Referee,Toss Winner,Toss Winner Choice,Match Winner,Match Result Text,MOM Player,Team1 Playing 11,Team2 Playing 11,Debut Players
12,251488,New Zealand Vs Sri Lanka 2Nd T20I,251042,Sri Lanka tour of New Zealand  - 2006 (2006/07),2006-12-26,T20,8,Sri Lanka,6315,115.0,10.0,12.0,5,New Zealand,2121,116.0,5.0,8.0,Eden Park,Auckland,New Zealand,BF Bowden,AL Hill,J Srinath,New Zealand,bowl,New Zealand,New Zealand won by 5 wickets (with 9 balls remaining),9639.0,"['11334', '48520', '6315', '9587', '1979', '7419', '8197', '7270', '45105', '11271', '7989']","['10384', '2121', '44930', '2235', '35647', '18948', '9639', '10316', '15357', '11922', '9992']","['7270', '9992']"
13,249227,Australia Vs England Only T20I,249147,England tour of Australia  - 2006 (2006/07),2007-01-09,T20,2,Australia,2230,221.0,5.0,4.0,1,England,4709,144.0,9.0,12.0,Sydney Cricket Ground,Sydney,Australia,RL Parry,PD Parker,RS Madugalle,Australia,bat,Australia,Australia won by 77 runs,12049.0,"['4176', '2119', '2230', '6256', '4382', '8876', '12049', '3328', '7445', '44865', '8399']","['7233', '4709', '4271', '8107', '7822', '2314', '4577', '10647', '7037', '10782', '10829']","['44865', '12049', '10829', '10782', '4577', '8399']"
14,255957,South Africa Vs Pakistan Only T20I,255956,Pakistan tour of South Africa  - 2007 (2006/07),2007-02-02,T20,7,Pakistan,10439,129.0,8.0,19.0,3,South Africa,10406,132.0,0.0,8.0,New Wanderers Stadium,Johannesburg,South Africa,BG Jerling,RE Koertzen,BC Broad,South Africa,bowl,South Africa,South Africa won by 10 wickets (with 51 balls remaining),7538.0,"['8177', '9257', '19647', '8270', '10439', '4169', '4178', '45765', '19820', '10443', '8273']","['10406', '7538', '46533', '6354', '6335', '9505', '2228', '4130', '9492', '2352', '10562']","['10443', '10562', '8177', '6354', '8273', '45765']"
15,258463,England Vs West Indies 1St T20I,258447,West Indies tour of England and Ireland  - 2007 (2007),2007-06-28,T20,4,West Indies,7568,208.0,8.0,16.0,1,England,2314,193.0,7.0,16.0,Kennington Oval,London,England,NJ Llong,PJ Hartley,MJ Procter,West Indies,bat,West Indies,West Indies won by 15 runs,2314.0,"['7568', '10494', '2120', '10238', '45257', '47111', '45554', '10460', '44829', '45258', '17837']","['45788', '11120', '10407', '8107', '2314', '6377', '6769', '8307', '48440', '4647', '10829']","['45788', '17837', '44829', '10494', '10494', '6769', '10407', '10238', '11120', '6377', '45258', '4647']"
16,258464,England Vs West Indies 2Nd T20I,258447,West Indies tour of England and Ireland  - 2007 (2007),2007-06-29,T20,4,West Indies,7568,169.0,7.0,7.0,1,England,2314,173.0,5.0,21.0,Kennington Oval,London,England,IJ Gould,NJ Llong,MJ Procter,West Indies,bat,England,England won by 5 wickets (with 3 balls remaining),6377.0,"['7568', '45256', '47136', '10238', '47111', '10460', '45554', '45257', '44829', '45258', '17837']","['45788', '11120', '10407', '8107', '2314', '6377', '6769', '8307', '48440', '4647', '10829']","['47136', '45256']"
17,306987,Kenya Vs Bangladesh 2Nd Match,306979,"Twenty20 Quadrangular (in Kenya) Bangladesh, Kenya, Pakistan, Uganda in Kenya - 2007 (2007/08)",2007-09-01,T20,26,Kenya,2265,138.0,7.0,6.0,25,Bangladesh,24667,139.0,5.0,6.0,Gymkhana Club Ground,Nairobi,Kenya,R D'Mello,SR Modi,MJ Procter,Bangladesh,bowl,Bangladesh,Bangladesh won by 5 wickets (with 14 balls remaining),45156.0,"['36623', '53285', '48189', '2265', '2268', '21463', '8207', '47179', '2278', '9228', '49761']","['48391', '45156', '45558', '24667', '35501', '47352', '24672', '48384', '47986', '45573', '45159']","['35501', '35501', '21463', '36623', '36623', '49761', '49761', '53285', '53285', '8207', '8207', '2278', '2278', '47352', '47352', '24667', '24667', '45156', '45156', '9228', '9228', '47179', '47179', '2265', '2265', '45573', '45573', '48391', '48391', '48189', '48189', '2268', '2268']"
18,306989,Bangladesh Vs Pakistan 4Th Match,306979,"Twenty20 Quadrangular (in Kenya) Bangladesh, Kenya, Pakistan, Uganda in Kenya - 2007 (2007/08)",2007-09-02,T20,7,Pakistan,8270,191.0,7.0,3.0,25,Bangladesh,24667,161.0,7.0,10.0,Gymkhana Club Ground,Nairobi,Kenya,R D'Mello,SR Modi,MJ Procter,Bangladesh,bowl,Pakistan,Pakistan won by 30 runs,8177.0,"['11647', '8177', '10439', '8270', '4169', '19596', '9257', '10394', '5649', '19396', '19627']","['48391', '45156', '45558', '24667', '35501', '47352', '24672', '48384', '47986', '45573', '45159']","['19396', '19596', '11647', '10394']"
19,306991,Kenya Vs Pakistan 6Th Match,306979,"Twenty20 Quadrangular (in Kenya) Bangladesh, Kenya, Pakistan, Uganda in Kenya - 2007 (2007/08)",2007-09-04,T20,26,Kenya,2268,92.0,10.0,10.0,7,Pakistan,8270,93.0,2.0,5.0,Gymkhana Club Ground,Nairobi,Kenya,IO Oyieko,SR Modi,MJ Procter,Kenya,bat,Pakistan,Pakistan won by 8 wickets (with 36 balls remaining),10439.0,"['36623', '8207', '48189', '21463', '2268', '4171', '51509', '47179', '2278', '9228', '49761']","['8270', '19647', '19596', '47099', '11647', '10439', '8177', '9257', '10443', '44908', '5649']","['51509', '51509', '47099', '4171', '4171', '44908']"
20,287853,South Africa Vs West Indies 1St Match Group A,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-11,T20,4,West Indies,6405,205.0,6.0,17.0,3,South Africa,10406,208.0,2.0,28.0,New Wanderers Stadium,Johannesburg,South Africa,DJ Harper,MR Benson,BC Broad,South Africa,bowl,South Africa,South Africa won by 8 wickets (with 14 balls remaining),7568.0,"['7568', '10494', '10238', '2120', '45554', '6405', '47111', '45257', '17837', '45258', '45774']","['10406', '2347', '46533', '6335', '3947', '2228', '9505', '4130', '46935', '4073', '47289']","['45774', '47289', '6405', '46935']"
21,287854,Kenya Vs New Zealand 2Nd Match Group C,286109,ICC World Twenty20 in South Africa - 2007 (2007/08),2007-09-12,T20,26,Kenya,2265,73.0,10.0,8.0,5,New Zealand,4380,74.0,1.0,10.0,Kingsmead,Durban,South Africa,BR Doctrove,SJA Taufel,MJ Procter,New Zealand,bowl,New Zealand,New Zealand won by 9 wickets (with 74 balls remaining),15357.0,"['10364', '36623', '48189', '2265', '21463', '2268', '49383', '51509', '8207', '47179', '9228']","['10311', '10384', '35647', '44930', '9570', '9989', '5619', '4380', '10280', '15357', '9711']","['9711', '4380', '10364', '10364', '49383', '49383']"
